Rect_no	Entry_time (s)	Time_on_target (s)	SD (px)	Inaccuracy (px)	Exit_time(s)
0	0.944999933243	1.07000017166	60.7473932417	82.8411214953	1.07000017166
1	1.28699994087	0.723000049591	113.284498276	166.855932203	0.723000049591
2	0.0160000324249	0.696999788284	121.092808441	-80.1525423729	0
3	0.430000066757	0.629999876022	181.512582459	-152.786324786	0
4	1.25599980354	0.655999898911	219.825028547	-122.582608696	0.62299990654
5	0.547999858856	1.16700005531	140.02199247	142.700854701	0.483000040054
6	0.0329999923706	1.30100011826	100.560359274	-5.52991452991	0
7	0.496999979019	1.04899978638	150.579600311	-17.5084745763	0
8	1.71800017357	0.296000003815	269.935650056	-244.669491525	0.296000003815
9	0.911000013351	1.09100008011	155.448021439	172.222222222	1.09100008011
10	0.0160000324249	1.88400006294	20.2716304751	39.811965812	1.3259999752
11	0.0160000324249	0.555000066757	136.661634962	-150.491525424	0
