Rect_no	Entry_time (s)	Time_on_target (s)	SD (px)	Inaccuracy (px)	Exit_time(s)
0	0.449000120163	0.15199971199	52.5209569798	43.2804878049	-0.253000020981
1	0	0	321.091355076	294.911764706	-2.29200005531
2	1.94999980927	0.0650000572205	312.459152793	195.919354839	-0.0019998550415
3	1.96900010109	0.0659999847412	190.534305415	119.532258065	-0.00200009346008
4	0.725999832153	0.199000358582	211.032598298	136.790322581	-0.181999921799
5	1.47000002861	0.594000101089	112.596172328	61.3709677419	-0.00200009346008
6	0	0	115.815029654	66.625	-2.06200003624
7	1.64100003242	0.0709998607635	279.661509389	210.274193548	-0.0019998550415
8	1.77600002289	0.0780000686646	282.559038079	225.0	-0.223999977112
9	1.32300019264	0.311999797821	204.43799386	122.266666667	-0.0019998550415
10	0.851000070572	0.289999961853	199.101707165	117.321428571	-0.582000017166
11	2.01399993896	0.00200009346008	285.249622154	189.642857143	-0.00200009346008
12	1.37699985504	0.478000164032	327.238824887	242.017241379	-0.0019998550415
13	1.27800011635	0.0659999847412	192.089909504	145.433333333	-0.74799990654
14	0.59700012207	0.182999849319	185.358937715	98.1896551724	-0.112999916077
15	1.63700008392	0.394999980927	134.508284756	86.6935483871	-0.00200009346008
16	1.10199999809	0.725000143051	123.667373008	79.7580645161	-0.00200009346008
17	0.460999965668	0.210000038147	159.661670068	84.8666666667	-0.00200009346008
18	0.792999982834	0.493999958038	264.281090693	152.178571429	-0.216000080109
19	2.01600003242	0.0019998550415	193.595469233	125.431034483	-0.0019998550415
20	1.38800001144	0.0640001296997	201.065957464	132.467741935	-0.669000148773
21	1.62999987602	0.15700006485	323.555636638	214.535714286	-0.302999973297
22	0	0	309.897798565	228.366666667	-2.34799981117
23	0.927999973297	0.997000217438	205.341809987	141.678571429	-0.0730001926422
24	0.988999843597	1.02000021935	191.381631535	107.733333333	-0.00200009346008
25	1.0039999485	0.839999914169	110.348141	61.9333333333	-0.0019998550415
26	1.20499992371	0.0880000591278	120.894392267	89.2142857143	-0.832000017166
27	0	0	274.166170212	226.166666667	-2.85800004005
28	1.06700015068	0.0699999332428	273.85996141	191.166666667	-0.974999904633
29	1.6970000267	0.0699999332428	155.001107523	126.133333333	-0.321000099182
30	0.740000009537	0.484999895096	204.413102972	124.566666667	-0.00300002098083
31	1.09400010109	0.571999788284	281.444452054	149.035714286	-0.0019998550415
32	0.794000148773	0.184000015259	297.818177193	167.8	-0.648999929428
33	1.04800009727	0.504999876022	190.378051437	127.796296296	-0.213000059128
34	1.81900000572	0.101999998093	189.654815419	114.629032258	-0.155000209808
35	0	0	133.818377007	85.3888888889	-2.16799998283
36	0	0	130.138827658	84.5	-4.21500015259
37	0	0	259.195742408	174.85483871	-6.29200005531
38	0.959000110626	0.129999876022	270.996338178	163.928571429	-0.526999950409
39	0	0	0.0	496.5	0
