Rect_no	Entry_time (s)	Time_on_target (s)	SD (px)	Inaccuracy (px)	Exit_time(s)
0	0.0329999923706	1.1280002594	130.013709117	-25.4649122807	0.819999933243
1	0.657999992371	1.33500003815	164.145260507	144.584745763	0.842000007629
2	0.0159997940063	1.98400020599	11.6871896131	64.7948717949	1.98400020599
3	0.0159997940063	0.956000089645	191.022890475	-38.2457627119	0.0379998683929
4	0.951999902725	0.085000038147	160.024968375	-191.555555556	0
5	0.0160000324249	0.710999965668	166.277352448	-161.581196581	0
6	0.227999925613	0.565999746323	248.143560745	-23.9224137931	0
7	0.285000085831	0.317000150681	224.532113983	-57.4406779661	0
8	0.407999992371	1.16899967194	236.793885054	-90.5042735043	0.701999902725
9	0.730999946594	1.26999998093	137.577737009	140.52991453	1.26999998093
10	0.0160000324249	1.14400005341	153.040391604	-94.4152542373	0
11	0.299000024796	0.805999994278	162.070131267	-43.3813559322	0
