Rect_no	EventType	Trigger	Height	Position	total Time visible	 Visible From	Entry_time (ms)	Time_on_target (ms)	SD outside Target(px)	Mean Inaccuracy (px outside target)	Exit_time (ms)	Percent_Time_On_Target (%)	Reaction_Time (ms)	time_Off_Target (ms)	 overshoot?	 overshoot time	 undershoot?	 undershoot time
0	R	22	25	1226	2646	8	2646	507.0	514.1508851176351	516.0734381790407	2646	19.160997732426303	0	2139.0	False	0.0	False	0.0
1	P	15	36	200	500	2646	0.0	500.0	342.99849582006925	780.0032310296908	0.0	100.0	250	0.0	False	0.0	False	0.0
2	B	10	50	0	1112	3146	3765	511.0	18.872884494896898	28.070100014518445	4258	45.95323741007194	0	601.0	True	3199	False	0.0
3	P	15	50	1100	515	4258	0.0	515.0	217.81946823531015	918.2612809879793	0.0	100.0	209	0.0	False	0.0	False	0.0
4	R	22	32	846	1999	4773	6522	514.0	61.80559117836387	77.73086135755635	6772	25.71285642821411	0	1485.0	False	0.0	True	4900
5	P	15	32	200	485	6772	7242	516.0	183.92382146180728	521.3855910709257	7257	106.3917525773196	0	-31.0	False	0.0	False	0.0
6	B	10	50	0	624	7257	7390	508.0	25.76749971508865	34.57682598168595	7881	81.41025641025641	0	116.0	True	7306	False	0.0
7	P	15	50	1100	514	7881	0.0	514.0	0.5507172360662657	1079.3956106834278	0.0	100.0	0.0	0.0	False	0.0	True	8234
8	R	22	28	663	1771	8395	10064	514.0	229.5379664113594	158.79044815140227	10166	29.023150762281194	202	1257.0	False	0.0	False	0.0
9	P	15	29	200	467	10166	10617	500.0	113.30651949863821	371.75451040098693	10633	107.06638115631692	0	-33.0	True	10217	False	0.0
10	B	10	50	0	618	10633	10753	512.0	27.39783656420029	38.86325599987158	11251	82.84789644012946	0	106.0	True	10685	False	0.0
11	P	15	50	1100	501	11251	0.0	501.0	1.4350704844251583	1069.877275455847	0.0	100.0	0.0	0.0	False	0.0	False	0.0
12	R	22	24	905	2676	11752	14295	504.0	243.99132914397765	138.5984881338155	14428	18.83408071748879	101	2172.0	True	12263	False	0.0
13	P	15	22	200	503	14428	0.0	503.0	230.95149276633882	562.1452929304539	0.0	100.0	70	0.0	True	14535	False	0.0
14	B	10	50	0	883	14931	15318	515.0	23.829276484680868	34.13265732783296	15814	58.323895809739525	0	368.0	True	14978	False	0.0
15	P	15	50	1100	501	15814	0.0	501.0	143.08797775562965	985.6902207711939	0.0	100.0	217	0.0	False	0.0	False	0.0
16	R	22	38	1357	2541	16315	18856	509.0	266.19037350976487	178.3233212915357	18856	20.031483667847304	22	2032.0	False	0.0	True	16500
17	P	15	34	200	502	18856	0.0	502.0	78.47461043256408	1094.893982503716	0.0	100.00000000000001	0	0.0	True	19010	False	0.0
18	B	10	50	0	1124	19358	19985	511.0	254.58754317692606	150.8455199203363	20482	45.462633451957295	0	613.0	True	19441	False	0.0
19	P	15	50	1100	513	20482	0.0	513.0	6.1420309821904935	1062.816914424114	0.0	100.0	0.0	0.0	False	0.0	True	20708
