Digital_Input	Screen Position Y axis (px)	time (ms)
-0.039466667629195484	7.319831401942386	8
-0.039466667629195484	7.319831401942386	32
-0.039466667629195484	7.319831401942386	45
-0.039466667629195484	7.319831401942386	58
-0.039466667629195484	7.319831401942386	70
-0.039466667629195484	7.319831401942386	82
-0.039466667629195484	7.319831401942386	95
-0.039466667629195484	7.319831401942386	108
-0.039466667629195484	7.319831401942386	120
-0.039466667629195484	7.319831401942386	133
-0.039466667629195484	7.319831401942386	145
-0.039466667629195484	7.319831401942386	156
-0.039466667629195484	7.319831401942386	169
-0.039466667629195484	7.319831401942386	181
-0.049657494509222744	9.209910780040177	194
-0.049657494509222744	9.209910780040177	206
-0.039466667629195484	7.319831401942386	219
-0.049657494509222744	9.209910780040177	231
-0.039466667629195484	7.319831401942386	244
-0.049657494509222744	9.209910780040177	256
-0.039466667629195484	7.319831401942386	270
-0.039466667629195484	7.319831401942386	282
-0.039466667629195484	7.319831401942386	295
-0.039466667629195484	7.319831401942386	308
-0.039466667629195484	7.319831401942386	319
-0.039466667629195484	7.319831401942386	331
-0.039466667629195484	7.319831401942386	344
-0.049657494509222744	9.209910780040177	356
-0.05984832138925	11.09999015813797	370
-0.05984832138925	11.09999015813797	381
-0.07003914826927726	12.990069536235762	394
-0.07003914826927726	12.990069536235762	406
-0.07003914826927726	12.990069536235762	420
-0.07003914826927726	12.990069536235762	434
-0.07003914826927726	12.990069536235762	445
-0.05984832138925	11.09999015813797	458
-0.05984832138925	11.09999015813797	470
-0.05984832138925	11.09999015813797	482
-0.05984832138925	11.09999015813797	495
-0.05984832138925	11.09999015813797	508
-0.10061162890935549	18.660307670528482	523
-0.2127107245896518	39.451180829603544	537
-0.46748139659031906	86.70316528204572	555
-0.8037786836312044	149.07578475927025	571
-1.1604576244321407	215.22856299268966	588
-1.5273273921131043	283.2714206042069	605
-1.8228613716338806	338.0837225690403	622
-2.0470595629944697	379.6654688871897	639
-2.189731139314844	406.1265801805575	656
-2.2203036199549224	411.79681831485027	673
-2.1591586586747624	400.4563420462641	689
-2.016487082354388	373.9952307528963	705
-1.8941971597940679	351.3142782157242	722
-1.8330521985139079	339.97380194713804	739
-1.8330521985139079	339.97380194713804	755
-1.8941971597940679	351.3142782157242	772
-2.0062962554743606	372.1051513747986	789
-2.118395351154657	392.89602453387363	808
-2.240685273714977	415.57697707104586	825
-2.3324027156352187	432.5876914739253	841
-2.4546926381955387	455.2686440110975	855
-2.587173387635886	479.8396759263675	872
-2.740035790836288	508.190866597833	889
-2.913279847796744	540.3222160254941	905
-3.127287212277306	580.0138829655458	922
-3.3311037498778404	617.8154705274997	940
-3.5960652487585385	666.9575343580403	956
-3.8406450938791785	712.3194394323848	972
-4.095415765879849	759.5714238848275	989
-4.309423130360411	799.2630908248793	1006
-4.47247636044084	829.5043608744427	1023
-4.6049571098811874	854.0753927897126	1039
-4.71705620556148	874.8662659487869	1055
-4.8291553012417765	895.657139107862	1072
-4.8903002625219365	906.9976153764483	1085
-4.9514452238020965	918.3380916450343	1099
-5.032971838842311	933.458726669816	1112
-5.124689280762553	950.4694410726955	1126
-5.216406722682795	967.480155475575	1142
-5.328505818363087	988.2710286346494	1156
-5.481368221563489	1016.6222193061149	1173
-5.624039797883864	1043.0833305994827	1190
-5.746329720444184	1065.764283136655	1207
-5.827856335484398	1080.8849181614364	1223
-5.889001296764558	1092.2253944300226	1239
-5.929764604284667	1099.7857119424139	1252
-5.9603370849247455	1105.4559500767066	1265
-6.011291219324882	1114.9063469671955	1278
-6.072436180605042	1126.2468232357817	1290
-6.174344449405307	1145.1476170167582	1302
-6.276252718205576	1164.0484107977356	1316
-6.398542640765896	1186.7293633349077	1328
-6.52083256332622	1209.4103158720804	1343
-6.602359178366434	1224.5309508968621	1359
-6.64312248588654	1232.0912684092527	1375
-6.64312248588654	1232.0912684092527	1392
-6.622740832126485	1228.311109653057	1408
-6.602359178366434	1224.5309508968621	1423
-6.58197752460638	1220.7507921406666	1440
-6.561595870846325	1216.9706333844708	1453
-6.551405043966298	1215.0805540063732	1465
-6.561595870846325	1216.9706333844708	1478
-6.592168351486407	1222.6408715187645	1493
-6.612550005246462	1226.42103027496	1506
-6.602359178366434	1224.5309508968621	1519
-6.561595870846325	1216.9706333844708	1531
-6.500450909566165	1205.630157115885	1544
-6.429115121405978	1192.3996014692011	1557
-6.378160987005845	1182.9492045787129	1570
-6.3475885063657635	1177.2789664444192	1582
-6.327206852605709	1173.4988076882237	1595
-6.2864435450856035	1165.9384901758333	1609
-6.255871064445522	1160.2682520415399	1626
-6.2456802375654945	1158.378172663442	1642
-6.266061891325549	1162.1583314196375	1659
-6.306825198845658	1169.7186489320288	1676
-6.337397679485736	1175.3888870663216	1692
-6.3475885063657635	1177.2789664444192	1708
-6.378160987005845	1182.9492045787129	1724
-6.429115121405978	1192.3996014692011	1741
-6.500450909566165	1205.630157115885	1758
-6.561595870846325	1216.9706333844708	1775
-6.602359178366434	1224.5309508968621	1793
-6.632931659006513	1230.2011890311549	1813
-6.663504139646594	1235.871427165448	1831
-6.694076620286673	1241.541665299741	1848
-6.734839927806782	1249.1019828121323	1861
-6.775603235326887	1256.6623003245227	1877
-6.795984889086942	1260.4424590807182	1894
-6.785794062206914	1258.5523797026203	1911
-6.755221581566836	1252.8821415683276	1925
-6.714458274046727	1245.3218240559365	1942
-6.714458274046727	1245.3218240559365	1971
-6.694076620286673	1241.541665299741	1983
-6.673694966526622	1237.761506543546	1995
-6.622740832126485	1228.311109653057	2009
-6.58197752460638	1220.7507921406666	2025
-6.561595870846325	1216.9706333844708	2042
-6.551405043966298	1215.0805540063732	2059
-6.531023390206247	1211.3003952501783	2071
-6.500450909566165	1205.630157115885	2085
-6.469878428926084	1199.9599189815915	2098
-6.429115121405978	1192.3996014692011	2112
-6.388351813885873	1184.8392839568105	2125
-6.357779333245791	1179.169045822517	2139
-6.3475885063657635	1177.2789664444192	2152
-6.337397679485736	1175.3888870663216	2164
-6.337397679485736	1175.3888870663216	2178
-6.3475885063657635	1177.2789664444192	2194
-6.357779333245791	1179.169045822517	2209
-6.367970160125818	1181.059125200615	2225
-6.378160987005845	1182.9492045787129	2239
-6.388351813885873	1184.8392839568105	2251
-6.4087334676459236	1188.6194427130054	2264
-6.4087334676459236	1188.6194427130054	2279
-6.4087334676459236	1188.6194427130054	2294
-6.429115121405978	1192.3996014692011	2310
-6.45968760204606	1198.0698396034943	2326
-6.510641736446193	1207.5202364939826	2343
-6.58197752460638	1220.7507921406666	2360
-6.64312248588654	1232.0912684092527	2376
-6.673694966526622	1237.761506543546	2393
-6.683885793406649	1239.6515859216438	2409
-6.7042674471667	1243.4317446778389	2421
-6.724649100926754	1247.2119034340344	2433
-6.745030754686809	1250.99206219023	2446
-6.755221581566836	1252.8821415683276	2459
-6.745030754686809	1250.99206219023	2471
-6.734839927806782	1249.1019828121323	2483
-6.724649100926754	1247.2119034340344	2498
-6.745030754686809	1250.99206219023	2510
-6.76541240844686	1254.7722209464248	2522
-6.785794062206914	1258.5523797026203	2535
-6.775603235326887	1256.6623003245227	2547
-6.755221581566836	1252.8821415683276	2560
-6.714458274046727	1245.3218240559365	2572
-6.663504139646594	1235.871427165448	2586
-6.622740832126485	1228.311109653057	2600
-6.592168351486407	1222.6408715187645	2614
-6.592168351486407	1222.6408715187645	2629
-6.622740832126485	1228.311109653057	2646
-6.632931659006513	1230.2011890311549	2667
-6.622740832126485	1228.311109653057	2681
-6.612550005246462	1226.42103027496	2695
-6.602359178366434	1224.5309508968621	2710
-6.592168351486407	1222.6408715187645	2727
-6.592168351486407	1222.6408715187645	2744
-6.592168351486407	1222.6408715187645	2756
-6.602359178366434	1224.5309508968621	2769
-6.602359178366434	1224.5309508968621	2782
-6.602359178366434	1224.5309508968621	2796
-6.602359178366434	1224.5309508968621	2810
-6.602359178366434	1224.5309508968621	2824
-6.592168351486407	1222.6408715187645	2837
-6.592168351486407	1222.6408715187645	2848
-6.592168351486407	1222.6408715187645	2860
-6.592168351486407	1222.6408715187645	2871
-6.58197752460638	1220.7507921406666	2883
-6.571786697726353	1218.8607127625687	2896
-6.541214217086271	1213.1904746282753	2911
-6.510641736446193	1207.5202364939826	2928
-6.469878428926084	1199.9599189815915	2944
-6.418924294525951	1190.5095220911032	2961
-6.337397679485736	1175.3888870663216	2978
-6.1641536225252835	1143.2575376386612	2994
-5.725948066684133	1061.98412438046	3011
-4.9514452238020965	918.3380916450343	3028
-4.024079977719662	746.3408682381437	3044
-3.3718670573979495	625.375788039891	3058
-2.740035790836288	508.190866597833	3070
-2.179540312434817	404.2365008024597	3081
-1.700571449073557	315.4027700318674	3097
-1.292938373872488	239.79959490795966	3112
-0.9566410868316026	177.42697543073515	3129
-0.7018704148309354	130.17499097829298	3146
-0.5388171847505063	99.93372092872961	3169
-0.49805387723040084	92.3734034163391	3183
-0.46748139659031906	86.70316528204572	3199
-0.44709974283026455	82.92300652585014	3214
-0.4267180890702136	79.1428477696552	3228
-0.40633643531015906	75.36268901345962	3241
-0.38595478155010454	71.58253025726404	3253
-0.3655731277900536	67.80237150106912	3265
-0.34519147402999906	64.02221274487353	3281
-0.3350006471499718	62.13213336677574	3297
-0.3146189933899173	58.35197461058014	3312
-0.30442816650989	56.461895232482355	3329
-0.30442816650989	56.461895232482355	3348
-0.3146189933899173	58.35197461058014	3365
-0.32480982026994454	60.24205398867794	3383
-0.34519147402999906	64.02221274487353	3401
-0.3553823009100263	65.91229212297132	3416
-0.3655731277900536	67.80237150106912	3430
-0.38595478155010454	71.58253025726404	3446
-0.40633643531015906	75.36268901345962	3463
-0.40633643531015906	75.36268901345962	3480
-0.40633643531015906	75.36268901345962	3496
-0.3961456084301318	73.47260963536182	3513
-0.3757639546700773	69.69245087916624	3529
-0.3553823009100263	65.91229212297132	3547
-0.3553823009100263	65.91229212297132	3564
-0.3757639546700773	69.69245087916624	3580
-0.43690891595024084	81.032927147753	3597
-0.5286263578704791	98.04364155063182	3614
-0.6203437997907209	115.05435595351129	3630
-0.6712979341908536	124.5047528439996	3647
-0.6611071073108263	122.6146734659018	3664
-0.6305346266707481	116.9444353316091	3680
-0.5591988385105608	103.71387968492519	3697
-0.4776722234703463	88.59324466014351	3713
-0.38595478155010454	71.58253025726404	3730
