Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time(ms)	Time_on_target(ms)	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	R	22	50	789	1500	9	1484	142.0	238.51313244264568	340.61976770575376	1513	9.466666666666667	9	1358.0	False	0.0	True	957
1	P	15	59	-8619	500	1513	0.0	0.0	120.11443629322874	9415.012194230732	0.0	0.0	0	500.0	True	1708	False	0.0
2	B	10	30	1410	1000	2015	2739	595.0	31.62590245502876	14.510424329163989	3019	59.5	0	405.0	False	0.0	True	2073
3	P	15	30	310	500	3019	0.0	0.0	1.4388984961682347	1078.7636606794115	0.0	0.0	0	500.0	False	0.0	False	0.0
4	R	22	89	1158	1500	3519	4758	243.0	124.90214624283882	164.20154470119206	4868	16.2	0	1257.0	False	0.0	True	3925
5	P	15	93	-8653	500	5032	0.0	0.0	98.50982914964665	9788.433365498176	0.0	0.0	0	500.0	True	5423	False	0.0
6	B	10	30	1410	1000	5544	5891	673.0	10.00276608872309	21.805732360551485	6549	67.3	75	327.0	False	0.0	True	5847
7	P	15	30	310	500	6549	0.0	0.0	6.820581003975761	1078.3735824869746	0.0	0.0	67	500.0	True	7031	False	0.0
8	R	22	92	772	1500	7062	7770	806.0	167.24047572196778	177.47911831157506	8562	53.733333333333334	0	694.0	True	7140	False	0.0
9	P	15	89	-8649	500	8562	0.0	0.0	77.29543883605696	9410.662538071505	0.0	0.0	20	500.0	True	8609	False	0.0
10	B	10	30	1410	1000	9066	9271	816.0	108.51635631331125	94.10752140669814	10072	81.6	0	184.0	False	0.0	True	9120
11	P	15	30	310	500	10072	0.0	0.0	2.1703054409866134	1080.9966593116278	0.0	0.0	34	500.0	False	0.0	False	0.0
12	R	22	85	952	1500	10589	11767	567.0	110.99403957889564	225.2439736935925	12100	37.8	53	933.0	False	0.0	True	10948
13	P	15	83	-8643	500	12100	0.0	0.0	214.04342297833745	9727.08922991891	0.0	0.0	0	500.0	False	0.0	False	0.0
14	B	10	30	1410	1000	12614	12783	853.0	nan	nan	13620	85.3	153	147.0	False	0.0	False	0.0
15	P	15	30	310	500	13620	0.0	0.0	63.29720007990305	1064.975590693679	0.0	0.0	111	500.0	False	0.0	False	0.0
16	R	22	52	870	1500	14125	15518	717.0	99.94592687691906	92.88427890563865	15562	47.8	0	783.0	True	14189	False	0.0
17	P	15	79	-8639	500	15638	0.0	0.0	25.393256230403466	9989.095008484739	0.0	0.0	0	500.0	True	15688	False	0.0
18	B	10	30	1410	1000	16143	16315	854.0	nan	nan	17154	85.4	157	146.0	False	0.0	False	0.0
19	P	15	30	310	500	17154	0.0	0.0	116.35763675242853	1011.3836235204935	0.0	0.0	249	500.0	False	0.0	False	0.0
