Digital_Input	Screen_Position_Y_axis(px)	time(ms)
567	567	8
567	567	16
567	567	24
567	567	33
567	567	42
567	567	51
567	567	60
567	567	69
567	567	77
567	567	85
567	567	95
567	567	104
567	567	112
567	567	120
567	567	129
567	567	138
567	567	147
567	567	156
567	567	164
567	567	172
567	567	181
567	567	190
567	567	198
567	567	206
567	567	215
567	567	223
567	567	231
567	567	239
567	567	248
567	567	257
567	567	265
566	566	274
563	563	283
560	560	292
557	557	300
556	556	309
555	555	317
551	551	325
549	549	333
544	544	342
544	544	351
541	541	360
540	540	369
538	538	377
537	537	386
536	536	395
535	535	404
533	533	413
532	532	422
528	528	431
526	526	439
518	518	448
513	513	457
508	508	465
493	493	473
488	488	482
473	473	491
467	467	499
461	461	508
446	446	516
440	440	524
423	423	532
417	417	541
400	400	550
388	388	558
374	374	568
366	366	577
348	348	585
341	341	594
334	334	603
312	312	611
302	302	620
293	293	628
271	271	636
264	264	645
244	244	654
240	240	662
231	231	671
228	228	680
225	225	688
218	218	697
216	216	705
209	209	713
207	207	721
205	205	730
202	202	738
200	200	747
195	195	755
192	192	763
190	190	772
185	185	780
183	183	789
175	175	798
172	172	806
165	165	815
162	162	824
159	159	832
152	152	841
149	149	849
142	142	857
139	139	866
136	136	874
129	129	882
126	126	891
124	124	900
116	116	909
114	114	918
106	106	926
104	104	935
101	101	944
100	100	953
98	98	961
97	97	969
96	96	978
94	94	987
94	94	995
92	92	1004
92	92	1012
91	91	1020
90	90	1029
88	88	1038
85	85	1046
84	84	1054
81	81	1063
78	78	1072
77	77	1081
71	71	1090
69	69	1099
66	66	1108
64	64	1117
62	62	1126
55	55	1135
54	54	1143
50	50	1151
47	47	1160
43	43	1168
42	42	1176
40	40	1185
38	38	1194
36	36	1202
33	33	1211
33	33	1220
32	32	1229
32	32	1238
30	30	1247
30	30	1255
30	30	1263
29	29	1271
29	29	1280
29	29	1289
29	29	1298
29	29	1307
29	29	1315
29	29	1324
29	29	1333
29	29	1342
29	29	1351
29	29	1360
29	29	1368
29	29	1376
29	29	1384
29	29	1392
29	29	1401
29	29	1410
29	29	1419
29	29	1428
29	29	1436
29	29	1444
29	29	1453
29	29	1462
29	29	1471
29	29	1480
29	29	1489
29	29	1498
29	29	1506
29	29	1514
29	29	1522
29	29	1531
29	29	1540
29	29	1549
29	29	1558
29	29	1568
29	29	1577
29	29	1586
29	29	1595
29	29	1604
29	29	1613
29	29	1622
32	32	1630
33	33	1638
35	35	1646
40	40	1654
41	41	1664
46	46	1673
47	47	1682
49	49	1690
50	50	1699
51	51	1708
52	52	1716
52	52	1724
52	52	1733
52	52	1742
52	52	1751
52	52	1759
52	52	1767
52	52	1775
52	52	1783
52	52	1792
52	52	1801
52	52	1810
52	52	1819
52	52	1828
52	52	1837
52	52	1846
52	52	1854
52	52	1863
52	52	1871
52	52	1879
52	52	1888
52	52	1896
52	52	1904
54	54	1913
55	55	1922
59	59	1931
61	61	1940
64	64	1949
75	75	1957
84	84	1966
92	92	1975
109	109	1984
116	116	1993
137	137	2002
146	146	2010
156	156	2018
186	186	2027
198	198	2036
229	229	2045
250	250	2054
276	276	2064
284	284	2072
292	292	2081
304	304	2089
309	309	2097
315	315	2105
316	316	2114
317	317	2123
317	317	2132
317	317	2141
317	317	2150
317	317	2159
317	317	2168
317	317	2177
317	317	2185
317	317	2194
317	317	2202
314	314	2211
312	312	2219
306	306	2228
303	303	2236
300	300	2245
290	290	2254
280	280	2262
271	271	2270
266	266	2279
251	251	2288
246	246	2297
240	240	2306
230	230	2314
227	227	2323
222	222	2332
214	214	2341
211	211	2350
205	205	2359
201	201	2368
197	197	2377
195	195	2386
192	192	2394
191	191	2402
190	190	2410
187	187	2419
186	186	2428
185	185	2436
184	184	2444
183	183	2452
183	183	2460
183	183	2468
182	182	2476
182	182	2485
181	181	2494
