Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time_ms	Calculated_Entry_time	Time_on_target_ms	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	B	0	40	10	60000	0.0	10485	10485.0	155	0	0.0	10194	0	0.0	0.0	True	1954	False	0.0
1	R	0	50	696	10000	9	1571	1562	155.0	0	0.0	0.0	0	640	0.0	False	0.0	False	0.0
2	R	0	50	616	10000	0.0	3725	3725.0	158.0	0	0.0	2723	0	0.0	0.0	False	0.0	True	2763
3	R	0	30	511	10000	0.0	6053	6053.0	152.0	0	0.0	5444	0	0.0	0.0	False	0.0	True	4758
4	R	0	50	976	10000	0.0	7798	7798.0	153.0	0	0.0	6826	0	0.0	0.0	False	0.0	True	7118
5	R	0	50	410	10000	0.0	9606	9606.0	154.0	0	0.0	8970	0	0.0	0.0	False	0.0	True	9073
0	B	0	40	10	60000	0.0	21952	21952.0	156	0	0.0	21322	0	0.0	0.0	True	13267	False	0.0
1	R	0	50	696	10000	0.0	12589	12589.0	156.0	0	0.0	12240	0	10579	0.0	False	0.0	True	10956
2	R	0	50	616	10000	0.0	14741	14741.0	158.0	0	0.0	14614	0	0.0	0.0	False	0.0	True	13770
3	R	0	30	511	10000	0.0	16706	16706.0	155.0	0	0.0	16501	0	0.0	0.0	False	0.0	True	15743
4	R	0	50	976	10000	0.0	19531	19531.0	152.0	0	0.0	18809	0	0.0	0.0	False	0.0	True	19496
5	R	0	50	410	10000	0.0	21175	21175.0	156.0	0	0.0	20774	0	0.0	0.0	False	0.0	True	20879
0	B	0	40	10	60000	0.0	32097	32097.0	154	0	0.0	31637	0	0.0	0.0	True	23755	False	0.0
1	R	0	50	696	10000	0.0	22796	22796.0	155.0	0	0.0	22100	0	22117	0.0	False	0.0	True	22693
2	R	0	50	616	10000	0.0	24745	24745.0	151.0	0	0.0	23942	0	0.0	0.0	False	0.0	True	24121
3	R	0	30	511	10000	0.0	27292	27292.0	156.0	0	0.0	26308	0	0.0	0.0	True	26465	False	0.0
4	R	0	50	976	10000	0.0	29373	29373.0	155.0	0	0.0	28460	0	0.0	0.0	False	0.0	True	29051
5	R	0	50	410	10000	0.0	31493	31493.0	154.0	0	0.0	30778	0	0.0	0.0	False	0.0	False	0.0
