Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time_ms	 Calculated_Entry_time	Time_on_target_ms	SD_outside_Target_px	Mean_Inaccuracy_px_outside_target	Exit_time_ms	Percent_Time_On_Target	Reaction_Time_ms	time_Off_Target_ms	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	R	22	50	809	2000	9	822	813	1220.0	125.73669235865643	185.30107526881721	2007	61.0	386	780.0	True	706	False	0.0
1	P	15	50	10000	1000	2007	0.0	-2007.0	0.0	15.698724233046635	9189.127118644068	0.0	0.0	384	1000.0	False	0.0	False	0.0
2	B	10	50	0	2000	3013	3754	741	1272.0	200.10693047900915	648.6666666666666	5018	63.6	334	728.0	False	0.0	False	0.0
3	P	15	50	1100	1000	5018	0.0	-5018.0	0.0	0.0	1070.0	0.0	0.0	0.0	1000.0	False	0.0	False	0.0
4	R	22	50	1004	2000	6018	6884	866	1173.0	441.1094848154175	544.9090909090909	8023	58.65	343	827.0	True	6815	False	0.0
5	P	15	50	10000	1000	8023	0.0	-8023.0	0.0	0.0	8985.0	0.0	0.0	0.0	1000.0	False	0.0	False	0.0
6	B	10	50	0	2000	9025	9966	941	1072.0	413.62792938543146	542.4495412844037	11030	53.6	356	928.0	False	0.0	False	0.0
7	P	15	50	1100	1000	11030	0.0	-11030.0	0.0	2.9530098483763765	1084.0084745762713	0.0	0.0	0.0	1000.0	False	0.0	False	0.0
8	R	22	50	336	2000	12032	12551	519	1491.0	103.07484335827696	223.1	14033	74.55	288	509.0	False	0.0	False	0.0
9	P	15	50	10000	1000	14033	0.0	-14033.0	0.0	0.46621618509849405	9645.680672268907	0.0	0.0	0.0	1000.0	False	0.0	False	0.0
10	B	10	50	0	2000	15039	15519	480	1530.0	96.53186927494093	246.75	17040	76.5	294	470.0	False	0.0	False	0.0
11	P	15	50	1100	1000	17040	0.0	-17040.0	0.0	0.44457210334250846	1076.7288135593221	0.0	0.0	0.0	1000.0	False	0.0	False	0.0
12	R	22	50	708	2000	18046	18770	724	1312.0	296.4660857501242	371.1	20049	65.6	259	688.0	True	18701	False	0.0
13	P	15	50	10000	1000	20049	0.0	-20049.0	0.0	74.65048564754774	9376.29411764706	0.0	0.0	300	1000.0	False	0.0	False	0.0
14	B	10	50	0	2000	21050	21514	464	1545.0	143.82883655569805	442.31481481481484	23051	77.25	314	455.0	False	0.0	False	0.0
15	P	15	50	1100	1000	23051	0.0	-23051.0	0.0	1.5598746257414966	1052.2033898305085	0.0	0.0	0.0	1000.0	False	0.0	False	0.0
16	R	22	50	900	2000	24056	24878	822	1244.0	387.0514766223681	468.56666666666666	26056	62.2	314	756.0	True	24804	False	0.0
17	P	15	50	10000	1000	26056	0.0	-26056.0	0.0	0.0	9073.0	0.0	0.0	0.0	1000.0	False	0.0	False	0.0
18	B	10	50	0	2000	27058	27566	508	1500.0	195.8964749548635	787.8305084745763	29058	75.0	344	500.0	False	0.0	False	0.0
19	P	15	50	1100	1000	29058	0.0	-29058.0	0.0	0.0	1059.0	0.0	0.0	0.0	1000.0	False	0.0	False	0.0
