Digital_Input	Screen_Position_Y_axis(px)	time(ms)
502	502	9
503	503	17
503	503	26
503	503	34
503	503	43
503	503	51
503	503	59
503	503	67
503	503	76
503	503	84
504	504	93
504	504	102
505	505	111
505	505	120
505	505	129
505	505	137
505	505	146
505	505	154
505	505	164
505	505	172
505	505	181
505	505	189
505	505	198
505	505	206
506	506	215
506	506	223
506	506	231
506	506	239
506	506	248
506	506	257
507	507	265
507	507	274
507	507	283
508	508	291
509	509	300
509	509	308
509	509	317
509	509	326
510	510	334
512	512	342
512	512	350
512	512	360
513	513	370
516	516	378
519	519	386
525	525	394
534	534	402
540	540	410
564	564	418
573	573	426
586	586	435
625	625	444
642	642	454
719	719	462
741	741	470
797	797	479
813	813	488
826	826	497
860	860	506
869	869	515
892	892	524
899	899	532
903	903	541
906	906	550
906	906	559
906	906	568
906	906	576
906	906	585
906	906	594
906	906	603
906	906	612
906	906	621
906	906	629
907	907	637
909	909	646
915	915	654
917	917	663
918	918	672
918	918	681
918	918	690
918	918	698
918	918	706
918	918	714
916	916	723
911	911	731
909	909	739
908	908	747
903	903	756
900	900	764
892	892	772
888	888	780
883	883	789
872	872	797
866	866	805
863	863	814
850	850	822
842	842	831
839	839	840
836	836	848
832	832	856
831	831	864
830	830	872
830	830	880
830	830	889
830	830	897
830	830	906
830	830	915
830	830	923
830	830	932
830	830	940
830	830	948
830	830	956
830	830	965
830	830	974
830	830	982
830	830	991
830	830	1000
830	830	1009
830	830	1017
830	830	1025
830	830	1034
830	830	1043
830	830	1051
830	830	1060
830	830	1069
830	830	1077
830	830	1085
830	830	1094
830	830	1103
830	830	1111
830	830	1119
830	830	1128
830	830	1136
830	830	1144
830	830	1152
830	830	1160
830	830	1168
830	830	1176
830	830	1184
830	830	1192
830	830	1200
830	830	1208
830	830	1217
830	830	1226
830	830	1235
830	830	1243
830	830	1252
830	830	1260
830	830	1268
830	830	1277
830	830	1286
830	830	1294
830	830	1302
830	830	1310
830	830	1318
830	830	1327
830	830	1335
830	830	1344
830	830	1352
830	830	1361
830	830	1370
830	830	1379
830	830	1387
830	830	1395
830	830	1403
830	830	1412
830	830	1420
830	830	1428
830	830	1437
830	830	1445
830	830	1453
830	830	1461
830	830	1469
830	830	1477
830	830	1486
830	830	1494
830	830	1502
830	830	1511
830	830	1520
830	830	1530
830	830	1538
830	830	1547
830	830	1556
830	830	1564
830	830	1573
830	830	1582
