Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time_ms	Calculated_Entry_time	Time_on_target_ms	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	B	0	100	1340	100	0.0	0.0	0.0	16	0	0.0	4603	0	0.0	0.0	False	0.0	False	0.0
1	R	0	80	790	10000	8	0.0	-8.0	0.0	0	0.0	0.0	0	350	0.0	False	0.0	False	0.0
2	R	0	80	40	10000	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	False	0.0	False	0.0
3	R	0	80	540	10000	0.0	2202	2202.0	30.0	0	0.0	2218	0	0.0	0.0	True	2164	False	0.0
4	R	0	80	1040	10000	0.0	3276	3276.0	55.0	0	0.0	3319	0	0.0	0.0	False	0.0	False	0.0
5	R	0	50	290	10000	0.0	4545	4545.0	55.0	0	0.0	0.0	0	0.0	0.0	False	0.0	False	0.0
0	B	0	100	1340	100	0.0	0.0	0.0	0	0	0.0	0.0	0	0.0	0.0	False	0.0	False	0.0
1	R	0	80	790	10000	0.0	0.0	0.0	0.0	0	0.0	0.0	0	5444	0.0	False	0.0	False	0.0
2	R	0	80	40	10000	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	False	0.0	False	0.0
3	R	0	80	540	10000	0.0	7254	7254.0	50.0	0	0.0	7292	0	0.0	0.0	False	0.0	False	0.0
4	R	0	80	1040	10000	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	True	8392	False	0.0
5	R	0	50	290	10000	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	False	0.0	True	9439
