Digital_Input	Screen_Position_Y_axis(px)	time(ms)
789	789	8
789	789	16
789	789	24
789	789	32
794	794	40
803	803	49
815	815	58
830	830	66
856	856	75
924	924	83
924	924	91
967	967	99
1017	1017	107
1070	1070	115
1195	1195	123
1195	1195	131
1250	1250	139
1311	1311	147
1370	1370	155
1430	1430	164
1439	1439	172
1439	1439	180
1439	1439	188
1439	1439	196
1439	1439	205
1439	1439	214
1439	1439	223
1424	1424	231
1373	1373	239
1286	1286	247
1189	1189	256
1189	1189	265
945	945	273
814	814	281
681	681	289
544	544	297
400	400	305
246	246	314
89	89	323
0	0	331
0	0	339
0	0	347
0	0	355
0	0	365
0	0	374
0	0	382
0	0	390
0	0	398
0	0	407
7	7	415
7	7	423
69	69	432
69	69	442
204	204	451
288	288	459
382	382	467
485	485	475
600	600	484
722	722	493
838	838	501
951	951	510
1065	1065	518
1292	1292	526
1292	1292	535
1382	1382	544
1439	1439	553
1439	1439	562
1439	1439	570
1439	1439	578
1439	1439	586
1439	1439	594
1439	1439	602
1439	1439	610
1439	1439	619
1439	1439	627
1398	1398	635
1362	1362	644
1304	1304	654
1231	1231	662
1138	1138	670
1032	1032	678
903	903	686
763	763	694
634	634	702
507	507	711
383	383	719
264	264	728
142	142	736
44	44	744
0	0	752
0	0	761
0	0	769
0	0	777
0	0	785
0	0	793
3	3	802
52	52	810
93	93	819
93	93	827
229	229	836
229	229	844
410	410	852
518	518	861
632	632	869
755	755	878
869	869	886
985	985	894
1103	1103	902
1209	1209	910
1290	1290	918
1357	1357	926
1407	1407	934
1439	1439	942
1439	1439	952
1439	1439	961
1439	1439	969
1437	1437	978
1420	1420	986
1387	1387	994
1331	1331	1002
1164	1164	1010
1164	1164	1018
1068	1068	1027
966	966	1035
857	857	1044
732	732	1052
485	485	1060
485	485	1069
270	270	1078
270	270	1087
97	97	1095
22	22	1103
22	22	1112
0	0	1120
0	0	1128
0	0	1136
0	0	1144
1	1	1152
16	16	1160
63	63	1168
101	101	1176
163	163	1184
239	239	1193
341	341	1201
449	449	1209
557	557	1217
673	673	1226
797	797	1234
910	910	1243
1018	1018	1251
1118	1118	1259
1210	1210	1268
1288	1288	1277
1345	1345	1285
1404	1404	1294
1404	1404	1302
1412	1412	1311
1413	1413	1319
1413	1413	1327
1370	1370	1335
1370	1370	1343
1334	1334	1352
1207	1207	1361
1134	1134	1370
1058	1058	1378
961	961	1386
867	867	1394
772	772	1403
672	672	1411
578	578	1419
475	475	1427
389	389	1435
311	311	1444
233	233	1452
168	168	1460
124	124	1469
92	92	1478
74	74	1486
66	66	1494
66	66	1503
66	66	1511
68	68	1519
87	87	1527
159	159	1535
159	159	1543
199	199	1552
351	351	1561
351	351	1569
534	534	1577
534	534	1585
629	629	1593
818	818	1602
918	918	1611
1007	1007	1620
1082	1082	1628
1082	1082	1636
1201	1201	1644
1248	1248	1652
1273	1273	1660
1284	1284	1668
1284	1284	1676
1287	1287	1684
1287	1287	1692
1281	1281	1700
1261	1261	1708
1222	1222	1717
1173	1173	1725
1107	1107	1734
1026	1026	1742
945	945	1750
945	945	1758
751	751	1766
653	653	1774
548	548	1783
454	454	1793
349	349	1801
268	268	1809
173	173	1818
103	103	1826
41	41	1834
0	0	1842
0	0	1851
0	0	1859
0	0	1868
0	0	1876
0	0	1884
0	0	1893
9	9	1901
30	30	1909
30	30	1918
109	109	1927
164	164	1935
245	245	1943
324	324	1951
408	408	1959
497	497	1967
589	589	1975
675	675	1984
767	767	1992
845	845	2001
912	912	2009
980	980	2017
1037	1037	2025
1080	1080	2034
1121	1121	2042
1145	1145	2050
1160	1160	2058
1172	1172	2067
1174	1174	2075
1174	1174	2083
1174	1174	2091
1174	1174	2099
1160	1160	2107
1133	1133	2115
1092	1092	2124
1041	1041	2133
884	884	2142
792	792	2150
792	792	2158
616	616	2166
616	616	2174
442	442	2182
369	369	2190
369	369	2198
234	234	2207
234	234	2215
135	135	2223
107	107	2232
107	107	2240
79	79	2249
77	77	2258
77	77	2266
77	77	2275
82	82	2283
97	97	2291
129	129	2299
172	172	2308
226	226	2317
291	291	2326
364	364	2335
532	532	2343
532	532	2352
616	616	2360
794	794	2368
794	794	2377
946	946	2385
1011	1011	2394
1011	1011	2403
1125	1125	2411
1163	1163	2420
1191	1191	2428
1207	1207	2436
1220	1220	2445
1228	1228	2453
1231	1231	2462
1232	1232	2470
1232	1232	2479
1232	1232	2488
1229	1229	2496
1199	1199	2504
1199	1199	2512
1169	1169	2520
1123	1123	2528
1066	1066	2537
917	917	2545
917	917	2554
830	830	2562
641	641	2570
641	641	2579
473	473	2587
396	396	2595
396	396	2604
275	275	2612
275	275	2620
203	203	2629
190	190	2637
182	182	2645
181	181	2654
181	181	2662
181	181	2671
184	184	2679
200	200	2688
224	224	2697
308	308	2705
308	308	2714
379	379	2723
528	528	2731
528	528	2739
680	680	2747
680	680	2755
762	762	2764
911	911	2772
992	992	2780
1059	1059	2788
1127	1127	2796
1127	1127	2805
1232	1232	2814
1276	1276	2822
1299	1299	2831
1318	1318	2839
1326	1326	2847
1328	1328	2856
1328	1328	2865
1327	1327	2873
1321	1321	2881
1308	1308	2890
1276	1276	2898
1232	1232	2906
1178	1178	2914
1111	1111	2923
1038	1038	2931
962	962	2939
873	873	2947
781	781	2955
697	697	2963
613	613	2971
529	529	2979
449	449	2987
376	376	2995
311	311	3003
249	249	3011
205	205	3020
162	162	3028
140	140	3036
131	131	3045
127	127	3053
127	127	3062
127	127	3070
135	135	3078
135	135	3086
183	183	3094
183	183	3102
275	275	3110
332	332	3118
332	332	3126
486	486	3135
486	486	3144
648	648	3152
726	726	3160
726	726	3168
878	878	3177
946	946	3185
1003	1003	3194
1049	1049	3202
1087	1087	3210
1117	1117	3218
1136	1136	3226
1147	1147	3235
1151	1151	3244
1152	1152	3253
1152	1152	3261
1152	1152	3269
1152	1152	3278
1151	1151	3286
1143	1143	3294
1127	1127	3302
1062	1062	3311
1062	1062	3319
1016	1016	3328
956	956	3336
877	877	3344
718	718	3353
643	643	3362
643	643	3371
494	494	3379
416	416	3388
346	346	3397
289	289	3406
237	237	3415
197	197	3423
161	161	3431
139	139	3439
125	125	3447
118	118	3455
116	116	3463
115	115	3472
115	115	3480
115	115	3488
116	116	3497
126	126	3505
196	196	3513
196	196	3521
229	229	3529
288	288	3537
356	356	3545
518	518	3554
518	518	3562
609	609	3570
685	685	3578
761	761	3586
915	915	3595
915	915	3603
990	990	3612
1109	1109	3620
1161	1161	3629
1201	1201	3638
1229	1229	3646
1242	1242	3654
1248	1248	3662
1249	1249	3670
1249	1249	3678
1249	1249	3686
1246	1246	3694
1229	1229	3702
1202	1202	3710
1164	1164	3718
1115	1115	3726
1058	1058	3734
991	991	3742
915	915	3750
832	832	3758
756	756	3766
756	756	3775
596	596	3784
521	521	3792
448	448	3800
372	372	3809
305	305	3817
251	251	3825
207	207	3834
177	177	3842
158	158	3850
149	149	3858
147	147	3866
147	147	3875
147	147	3884
147	147	3892
172	172	3900
172	172	3908
240	240	3917
240	240	3925
283	283	3934
418	418	3943
505	505	3952
589	589	3961
679	679	3969
766	766	3977
851	851	3985
924	924	3994
998	998	4002
1060	1060	4011
1117	1117	4019
1166	1166	4027
1201	1201	4036
1224	1224	4045
1245	1245	4053
1254	1254	4061
1256	1256	4069
1256	1256	4077
1256	1256	4085
1256	1256	4093
1241	1241	4102
1241	1241	4110
1205	1205	4119
1205	1205	4128
1158	1158	4137
1063	1063	4145
1008	1008	4154
941	941	4162
868	868	4170
795	795	4179
711	711	4187
643	643	4196
572	572	4204
497	497	4213
435	435	4222
380	380	4230
307	307	4239
307	307	4247
281	281	4256
263	263	4264
254	254	4272
251	251	4280
250	250	4288
250	250	4296
250	250	4304
250	250	4312
259	259	4321
259	259	4330
276	276	4339
352	352	4348
384	384	4356
425	425	4364
495	495	4372
566	566	4380
642	642	4389
717	717	4398
801	801	4406
869	869	4414
942	942	4422
1001	1001	4430
1059	1059	4439
1113	1113	4447
1149	1149	4455
1179	1179	4464
1195	1195	4473
1206	1206	4481
1206	1206	4490
1207	1207	4498
1207	1207	4506
1207	1207	4514
1189	1189	4522
1189	1189	4530
1165	1165	4539
1070	1070	4548
1070	1070	4556
970	970	4564
889	889	4572
889	889	4580
706	706	4589
611	611	4597
517	517	4605
414	414	4613
414	414	4621
242	242	4629
169	169	4637
104	104	4646
49	49	4655
6	6	4663
0	0	4671
0	0	4680
0	0	4688
0	0	4696
0	0	4704
0	0	4713
3	3	4721
24	24	4730
56	56	4738
100	100	4746
159	159	4755
306	306	4764
306	306	4772
387	387	4780
567	567	4788
567	567	4797
736	736	4805
736	736	4814
828	828	4822
967	967	4830
1039	1039	4839
1096	1096	4848
1145	1145	4857
1178	1178	4865
1197	1197	4874
1208	1208	4883
1211	1211	4891
1212	1212	4899
1212	1212	4907
1210	1210	4915
1200	1200	4924
1181	1181	4933
1151	1151	4942
1056	1056	4950
1056	1056	4958
907	907	4966
825	825	4975
825	825	4983
643	643	4992
548	548	5000
455	455	5009
376	376	5018
376	376	5027
237	237	5036
1198	1198	5044
1198	1198	5052
