Rect_no	EventType	Trigger	Height	Position	Entry_time_ms	Time_on_target_ms	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	B	0	50	670.0	583	410.0	29.561814240056737	45.20289855072464	984	41.0	319	590.0	False	0.0	False	0.0
1	R	0	50	181	1514	500.0	94.56590229328545	60.888888888888886	2006	100	1010	0.0	True	1370	False	0.0
2	R	0	40	121	2516	501.0	9.749456554813035	41.64705882352941	3008	100	2133	0.0	False	0.0	False	0.0
3	R	0	40	633	3761	255.0	140.37900679569356	132.11627906976744	4008	51.00000000000001	3040	244.99999999999994	False	0.0	False	0.0
4	R	0	40	1135	4837	66.0	166.3288703867812	205.17592592592592	4894	13.200000000000003	4206	433.99999999999994	False	0.0	True	4428
5	R	0	40	466	5958	61.0	227.59335965043977	161.85981308411215	6011	12.200000000000003	5136	438.99999999999994	True	5508	False	0.0
0	B	0	50	670.0	6420	597.0	14.589548140152848	51.71739130434783	7009	59.7	6029	403.0	False	0.0	False	0.0
1	R	0	50	374	7518	497.0	102.87459550345751	97.24	8016	99.40000000000002	7105	2.999999999999943	True	7420	False	0.0
2	R	0	40	1230	8760	255.0	205.8391749754406	304.75581395348837	9015	51.00000000000001	8016	244.99999999999994	False	0.0	False	0.0
3	R	0	40	456	9927	135.0	234.32545908375778	181.4368932038835	10011	27.000000000000004	9073	364.99999999999994	True	9833	False	0.0
4	R	0	40	1220	10815	33.0	247.51712989576444	175.85714285714286	10840	6.600000000000001	10117	466.99999999999994	False	0.0	True	10447
5	R	0	40	917	11593	429.0	85.49651478513051	131.16666666666666	12013	85.80000000000001	11100	70.99999999999994	False	0.0	False	0.0
0	B	0	50	670.0	12373	716.0	42.64802450864938	46.54545454545455	13011	71.6	12021	284.0	False	0.0	False	0.0
1	R	0	50	102	13518	496.0	201.77922623266562	211.59615384615384	14014	99.20000000000002	13072	3.999999999999943	False	0.0	False	0.0
2	R	0	40	324	14516	505.0	80.59101447628649	97.70270270270271	15012	100	14108	0.0	False	0.0	True	14305
3	R	0	40	1046	15886	197.0	210.6822457434957	237.74193548387098	16015	39.400000000000006	15073	302.99999999999994	False	0.0	True	15463
4	R	0	40	162	16705	310.0	305.703830021277	232.25641025641025	17015	62.000000000000014	16057	189.99999999999994	True	16489	False	0.0
5	R	0	40	873	17520	503.0	249.82453706497265	468.7142857142857	18015	100	17160	0.0	False	0.0	False	0.0
