series:	100v 400f
exercise:	400 b 300 100v 400f 240 b 100 100v 400f 500
Score (% of rect width)	Inaccuracy (% of half of rect height)	Stddev (% of rect height)	Entry (% of rect width)	Exit (% of rect width)
0.69	1.21702970297	0.903608023455	0.24	1.01
0.0	nan	nan	0.0	0.0
0.33	1.935625	1.14045243653	0.18	0.56
0.51	0.461851851852	0.188562262988	0.0	0.51
0.85	0.792277227723	0.725111743448	0.16	1.01
0.64	1.15306930693	0.40877366863	0.37	1.01
0.0	nan	nan	0.0	0.0
0.69	1.073125	0.600083680146	0.24	0.96
0.24	1.50037037037	0.661060507452	0.0	0.38
0.41	1.46217821782	0.881787080895	0.02	1.01
0.24	3.07128712871	1.24726892709	0.1	0.86
