Date	Random rectangles	Number of series	Series	Order	Score	Stddev	Inaccuracy
2016_05_27_11_25_28	5	2	[800, 950, 780]	ser/ran	0.0	0.0	300.181818182
2016_05_27_11_38_09	5	3	[800, 950, 780, 439]	ran/ser	0.0	0.0	350.882352941
2016_05_27_11_39_19	10	2	[100, 400, 200, 800, 500]	ser/ran	0.0	0.0	592.6
2016_05_27_11_42_20	10	2	[100, 400, 200, 800, 500]	ser/ran	0.0	0.0	528.05
2016_06_10_11_31_53	3	1	[50, 140, 700]	ser/ran	0.0	0.0	466.5
2016_06_10_11_33_27	5	2	[500, 300, 900, 20]	ran/ser	0.0	0.0	524.0
2016_06_10_14_38_11	4	2	[100, 900]	ser/ran	1.89775561097	0.0	503.375
2016_06_24_11_07_57	2	1	[100, 200, 300, 400, 500]	ran/ser	0.0	0.0	652.428571429
2016_06_24_11_09_39	0	0	[100, 400]	ran/ser	0.0	0.0	686.5
2016_06_24_11_10_01	4	2	[100, 400]	ser/ran	0.0	0.0	566.0
2016_06_24_11_10_14	4	2	[100, 400]	ser/ran	0.0	0.0	555.5
2016_06_24_11_11_51	0	0	[100, 400]	ran/ser	0.0	0.0	141.5
2016_06_24_11_12_50	0	2	[100, 400]	ran/ser	0.0	0.0	712.4
2016_06_24_11_13_06	0	2	[100, 400]	ran/ser	0.0	0.0	645.8
2016_06_24_11_13_26	1	2	[100, 400]	ser/ran	0.0	0.0	661.8
2016_06_24_11_13_39	1	2	[100, 400]	ser/ran	0.0	0.0	659.4
2016_06_24_11_13_52	1	2	[100, 400]	ser/ran	0.0	0.0	722.2
2016_06_27_09_13_32	1	0	[100, 400]	ran/ser	0.0	0.0	125.0
2016_06_27_09_13_51	1	1	[100, 400]	ran/ser	0.0	0.0	590.0
2016_06_27_09_14_20	1	1	[100, 400]	ser/ran	0.0	0.0	687.666666667
2016_06_27_09_43_11	1	0	[100, 400]	ran/ser	0.0	0.0	650.0
2016_06_27_09_43_25	0	0	[100, 400]	ran/ser	0.0	0.0	895.0
2016_06_27_09_43_44	0	1	[100, 400]	ser/ran	0.0	0.0	745.0
2016_06_27_09_43_58	0	1	[100, 400]	ran/ser	0.0	0.0	745.0
2016_06_27_09_44_32	1	1	[100, 400]	ran/ser	0.0	0.0	545.333333333
2016_06_27_09_44_48	1	1	[100, 400]	ran/ser	0.0	0.0	578.666666667
2016_06_27_09_45_04	1	1	[100, 400]	ser/ran	0.0	0.0	606.666666667
2016_06_27_10_38_52	0	2	[100, 400]	ran/ser	0.0	0.0	690.6
2016_06_27_10_39_17	0	2	[100, 400]	ran/ser	0.0	0.0	765.6
2016_06_27_10_39_35	5	1	[100, 400]	ran/ser	0.0	0.0	718.571428571
2016_06_27_10_51_55	1	1	[100, 400]	ser/ran	0.0	0.0	572.666666667
2016_06_27_10_52_12	1	1	[100, 400]	ser/ran	0.0	0.0	742.666666667
2016_06_27_10_56_26	2	1	[100, 400]	ser/ran	0.0	0.0	695.75
2016_06_27_10_56_44	2	1	[100, 400]	ser/ran	0.0	0.0	511.25
2016_06_27_10_58_16	1	1	[100, 400]	ser/ran	0.0	0.0	716.0
2016_06_27_11_24_45	0	1	[u'100', u'400', u'202']	ser/ran	0.0	0.0	765.5
2016_06_27_11_25_05	0	1	[u'100', u'400', u'202']	ser/ran	0.0	0.0	716.0
2016_06_27_11_25_20	0	1	[u'100', u'400', u'202']	ser/ran	0.0	0.0	716.0
2016_06_27_11_30_58	0	1	[100, 400, 500, 600, 700]	ser/ran	0.0	0.0	490.0
2016_06_27_11_31_17	0	1	[100, 400, 500, 600, 700]	ran/ser	0.0	0.0	504.166666667
2016_06_27_11_32_47	0	1	[100, 400, 500, 600, 700]	ran/ser	0.0	0.0	534.5
2016_06_27_11_33_14	0	1	[u'193', u'100', u'400', u'500', u'600', u'700']	ser/ran	0.0	0.0	534.5
2016_06_27_11_55_34	0	1	[100, 200, 300]	ser/ran	0.0	0.0	750.0
2016_06_27_11_56_25	0	1	[100, 200, 300]	ser/ran	0.0	0.0	750.0
2016_06_27_11_56_52	0	1	[100, 200, 300]	ran/ser	0.0	0.0	644.0
2016_06_30_09_58_07	1	1	[100, 200, 100, 200, 100]	ser/ran	0.0	0.0	831.666666667
2016_06_30_09_58_35	0	1	[u'100', u'200', u'100', u'200', u'100', u'10']	ser/ran	0.0	0.0	831.666666667
2016_10_17_09_04_08	3	0	[100, 400]	ran/ser	0.0	0.0	344.666666667
2016_10_17_09_05_07	5	0	[100, 400]	ran/ser	1.10978043912	246.206547678	95.7861386139
2016_10_17_09_06_42	3	2	[200, 900]	ser/ran	0.947218259629	190.471197374	218.425742574
2017_11_27_14_04_59	5	2	[100, 200, 300, 400, 500]	ran/ser	0.0	0.0	598.0
2017_11_27_14_07_01	5	2	[100, 200, 300, 400, 500]	ran/ser	0.0	0.0	622.466666667
2017_11_27_14_22_13	5	2	[100, 200, 300, 400, 500]	ran/ser	0.0	0.0	690.365183246
2017_11_27_14_23_16	5	2	[100, 200, 300, 400, 500]	ran/ser	0.0	0.0	657.890186916
2017_11_28_10_06_30	0	0	[100, 400]	ran/ser	0.0	0.0	758.5
2017_11_28_10_07_00	1	0	[100, 400]	ran/ser	0.0	0.0	671.0
2017_11_28_10_07_25	1	1	[100, 400]	ran/ser	0.0	0.0	600.247524752
2017_11_28_10_07_50	3	0	[100, 400]	ran/ser	0.0	0.0	358.084158416
2017_11_28_10_16_44	3	1	[100, 400]	ser/ran	0.0	0.0	648.101492537
